"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21","4,697.96","4,616.47","4,718.35","4,594.80","-","2.01%"
"Oct 21","4,605.38","4,324.71","4,608.70","4,278.70","-","6.91%"
"Sep 21","4,307.54","4,531.04","4,544.58","4,304.90","-","-4.76%"
"Aug 21","4,522.68","4,415.90","4,537.80","4,369.20","-","2.90%"
"Jul 21","4,395.26","4,304.10","4,430.20","4,232.80","-","2.27%"
"Jun 21","4,297.50","4,216.52","4,302.43","4,164.40","-","2.22%"
"May 21","4,204.11","4,191.98","4,238.04","4,056.88","-","0.55%"
"Apr 21","4,181.17","3,992.78","4,218.78","3,992.78","-","5.24%"
"Mar 21","3,972.89","3,842.51","3,994.41","3,723.34","-","4.24%"
"Feb 21","3,811.15","3,731.17","3,950.43","3,725.62","-","2.61%"
"Jan 21","3,714.24","3,764.61","3,870.90","3,662.71","-","-1.11%"
"Dec 20","3,756.07","3,645.87","3,760.20","3,633.40","-","3.71%"
"Nov 20","3,621.63","3,296.20","3,645.99","3,279.74","-","10.75%"
"Oct 20","3,269.96","3,385.87","3,549.85","3,233.94","-","-2.77%"
"Sep 20","3,363.00","3,507.44","3,588.11","3,209.45","-","-3.92%"
"Aug 20","3,500.31","3,288.26","3,514.77","3,284.53","-","7.01%"
"Jul 20","3,271.12","3,105.92","3,279.99","3,101.17","-","5.51%"
"Jun 20","3,100.29","3,038.78","3,233.13","2,965.66","-","1.84%"
"May 20","3,044.31","2,869.09","3,068.67","2,766.64","-","4.53%"
"Apr 20","2,912.43","2,498.08","2,954.86","2,447.49","-","12.68%"
"Mar 20","2,584.59","2,974.28","3,136.72","2,191.86","-","-12.51%"
"Feb 20","2,954.22","3,235.66","3,393.52","2,855.84","-","-8.41%"
"Jan 20","3,225.52","3,244.67","3,337.77","3,214.64","-","-0.16%"
"Dec 19","3,230.78","3,143.85","3,247.93","3,070.33","-","2.86%"
"Nov 19","3,140.98","3,050.72","3,154.26","3,050.72","-","3.40%"
"Oct 19","3,037.56","2,983.69","3,050.10","2,855.94","-","2.04%"
"Sep 19","2,976.74","2,909.01","3,021.99","2,891.85","-","1.72%"
"Aug 19","2,926.46","2,980.32","3,013.59","2,822.12","-","-1.81%"
